id,match_id,fecha,deporte,partido,home_team,away_team,seleccion,casa,cuota,prob_real,prob_modelo,prob_sharp,edge_pct,stake_eur,factor_conf,n_sharp,fair_open,creada
49c453ef5a10a40ac03a4c538a65e8bb|Leonardo de Oliveira|BetOnline.ag,49c453ef5a10a40ac03a4c538a65e8bb,2026-04-25T18:25:00Z,mma_mixed_martial_arts,Igor Wojtas vs Leonardo de Oliveira,Igor Wojtas,Leonardo de Oliveira,Leonardo de Oliveira,BetOnline.ag,5.25,0.2028,,,6.46,0.02,,,,2026-04-25T04:48:06
c625ba8faec8f1445c8543f1c0698f15|Mayra Bueno Silva|Matchbook,c625ba8faec8f1445c8543f1c0698f15,2026-04-25T22:50:00Z,mma_mixed_martial_arts,Mayra Bueno Silva vs Michelle Montague,Mayra Bueno Silva,Michelle Montague,Mayra Bueno Silva,Matchbook,4.5,0.2381,,,7.14,0.02,,,,2026-04-25T04:48:06
3c6748aa1b40bddddf19f5deb5ee482b|Ryan Spann|Betfair,3c6748aa1b40bddddf19f5deb5ee482b,2026-04-26T00:15:00Z,mma_mixed_martial_arts,Marcus Buchecha vs Ryan Spann,Marcus Buchecha,Ryan Spann,Ryan Spann,Betfair,2.3,0.4517,,,3.89,0.03,,,,2026-04-25T04:48:06
1e972b73d422aa4cadb9185ca87c3c93|Alex Pereira|Betfair,1e972b73d422aa4cadb9185ca87c3c93,2026-06-15T02:30:00Z,mma_mixed_martial_arts,Alex Pereira vs Ciryl Gane,Alex Pereira,Ciryl Gane,Alex Pereira,Betfair,2.06,0.5026,,,3.54,0.03,,,,2026-04-25T04:48:06
ded447e4d272c401eb12e646a165021b|SSG Landers|BetOnline.ag,ded447e4d272c401eb12e646a165021b,2026-04-25T08:00:00Z,baseball_kbo,SSG Landers vs KT Wiz,SSG Landers,KT Wiz,SSG Landers,BetOnline.ag,2.23,0.4681,,,4.38,0.04,,,,2026-04-25T04:48:06
182bc4336f49587957446a765c33ac2b|Yannick Hanfmann|Betfair,182bc4336f49587957446a765c33ac2b,2026-04-25T09:00:00Z,tennis_atp_madrid_open,Francisco Cerundolo vs Yannick Hanfmann,Francisco Cerundolo,Yannick Hanfmann,Yannick Hanfmann,Betfair,3.5,0.2967,,,3.85,0.02,,,,2026-04-25T04:48:06
182bc4336f49587957446a765c33ac2b|Yannick Hanfmann|Matchbook,182bc4336f49587957446a765c33ac2b,2026-04-25T09:00:00Z,tennis_atp_madrid_open,Francisco Cerundolo vs Yannick Hanfmann,Francisco Cerundolo,Yannick Hanfmann,Yannick Hanfmann,Matchbook,3.5,0.2967,,,3.85,0.02,,,,2026-04-25T04:48:06
22ab7e06a6482e6de3724ac8bc354df2|Brandon Nakashima|Betfair,22ab7e06a6482e6de3724ac8bc354df2,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Brandon Nakashima vs Alexander Blockx,Brandon Nakashima,Alexander Blockx,Brandon Nakashima,Betfair,2.34,0.4503,,,5.36,0.04,,,,2026-04-25T04:48:06
22ab7e06a6482e6de3724ac8bc354df2|Brandon Nakashima|Matchbook,22ab7e06a6482e6de3724ac8bc354df2,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Brandon Nakashima vs Alexander Blockx,Brandon Nakashima,Alexander Blockx,Brandon Nakashima,Matchbook,2.34,0.4503,,,5.36,0.04,,,,2026-04-25T04:48:06
22ab7e06a6482e6de3724ac8bc354df2|Brandon Nakashima|Smarkets,22ab7e06a6482e6de3724ac8bc354df2,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Brandon Nakashima vs Alexander Blockx,Brandon Nakashima,Alexander Blockx,Brandon Nakashima,Smarkets,2.3,0.4503,,,3.56,0.03,,,,2026-04-25T04:48:06
22ab7e06a6482e6de3724ac8bc354df2|Brandon Nakashima|Paddy Power,22ab7e06a6482e6de3724ac8bc354df2,2026-04-25T12:00:00Z,tennis_atp_madrid_open,Brandon Nakashima vs Alexander Blockx,Brandon Nakashima,Alexander Blockx,Brandon Nakashima,Paddy Power,2.3,0.4503,,,3.56,0.03,,,,2026-04-25T04:48:06
58925930660363678d22de2b6b8ee4a9|Learner Tien|Smarkets,58925930660363678d22de2b6b8ee4a9,2026-04-25T15:00:00Z,tennis_atp_madrid_open,Learner Tien vs Adolfo Daniel Vallejo,Learner Tien,Adolfo Daniel Vallejo,Learner Tien,Smarkets,2.4,0.4315,,,3.57,0.03,,,,2026-04-25T04:48:06
3d9d06152928e4cdf7f494409694de2d|Stefanos Tsitsipas|Betfair,3d9d06152928e4cdf7f494409694de2d,2026-04-25T19:30:00Z,tennis_atp_madrid_open,Alexander Bublik vs Stefanos Tsitsipas,Alexander Bublik,Stefanos Tsitsipas,Stefanos Tsitsipas,Betfair,2.66,0.399,,,6.13,0.04,,,,2026-04-25T04:48:06
3d9d06152928e4cdf7f494409694de2d|Stefanos Tsitsipas|Smarkets,3d9d06152928e4cdf7f494409694de2d,2026-04-25T19:30:00Z,tennis_atp_madrid_open,Alexander Bublik vs Stefanos Tsitsipas,Alexander Bublik,Stefanos Tsitsipas,Stefanos Tsitsipas,Smarkets,2.64,0.399,,,5.33,0.03,,,,2026-04-25T04:48:06
3d9d06152928e4cdf7f494409694de2d|Stefanos Tsitsipas|Matchbook,3d9d06152928e4cdf7f494409694de2d,2026-04-25T19:30:00Z,tennis_atp_madrid_open,Alexander Bublik vs Stefanos Tsitsipas,Alexander Bublik,Stefanos Tsitsipas,Stefanos Tsitsipas,Matchbook,2.66,0.399,,,6.13,0.04,,,,2026-04-25T04:48:06
e16af22e69c257bb330d4be8e8b72931|Tallon Griekspoor|Betfair,e16af22e69c257bb330d4be8e8b72931,2026-04-26T09:00:00Z,tennis_atp_madrid_open,Tallon Griekspoor vs Lorenzo Musetti,Tallon Griekspoor,Lorenzo Musetti,Tallon Griekspoor,Betfair,4.1,0.2555,,,4.77,0.02,,,,2026-04-25T04:48:06
ded447e4d272c401eb12e646a165021b|KT Wiz|Betway,ded447e4d272c401eb12e646a165021b,2026-04-25T08:00:00Z,baseball_kbo,SSG Landers vs KT Wiz,SSG Landers,KT Wiz,KT Wiz,Betway,2.2,0.4759,,,4.71,0.04,,,,2026-04-25T08:51:33
f979f7c01f1542d2886825e625fdc2c6|Kiwoom Heroes|Pinnacle,f979f7c01f1542d2886825e625fdc2c6,2026-04-25T08:00:00Z,baseball_kbo,Kiwoom Heroes vs Samsung Lions,Kiwoom Heroes,Samsung Lions,Kiwoom Heroes,Pinnacle,3.99,0.2857,,,14.0,0.05,,,,2026-04-25T08:51:33
